dataset_id,model_name,model_label,config_hash,fold,area_bin,bin_left_km2,bin_right_km2,area_center_km2,n_samples,mean_sr,rmse,relative_rmse,relative_rmse_percent
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,2,19,537159.1767636873,999999.9999999991,732075.3738223397,3709,796.42626044756,348.03339905550837,0.4369938766960388,43.69938766960388
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,0,3.9999999999999987,7.446582266544274,5.443398390255261,3614,47.197565024903156,32.0795002472087,0.6796854928910503,67.96854928910503
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,1,7.446582266544274,13.862896863102918,10.163398500349413,3665,47.88103683492496,33.17224313929287,0.692805447251649,69.2805447251649
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,2,13.862896863102918,25.807800485928613,18.926007334566002,3563,50.84619702497895,35.887628457930305,0.7058075246079853,70.58075246079854
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,3,25.807800485928613,48.04497735925719,35.11548271874198,3623,56.40988131382832,38.531934693113186,0.6830706570493611,68.30706570493611
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,4,48.04497735925719,89.44271909999146,65.93161248509062,3750,64.07813333333333,43.63365385269943,0.6809445216782133,68.09445216782133
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,5,89.44271909999146,166.51064148037437,122.56730183004706,3656,72.8230306345733,48.44611658450789,0.6652581767382216,66.52581767382216
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,6,166.51064148037437,309.98379750966797,226.596524417441,3699,85.74479589078129,55.759611526754455,0.6502973264730736,65.02973264730736
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,7,309.98379750966797,577.0799623628864,422.6874643445802,3664,104.92248908296943,63.25170879661123,0.60284224430278,60.284224430278
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,8,577.0799623628864,1074.318353527377,787.040107230885,3686,120.94112859468258,69.8009253798994,0.577147957778925,57.7147957778925
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,9,1074.318353527377,2000.0000000000023,1467.7226080299338,3706,144.78494333513223,79.2197639626033,0.5471547119318486,54.71547119318486
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,10,2000.0000000000023,3723.2911332721424,2726.5750720978317,3528,176.59410430839003,91.14008294202972,0.5160992395469209,51.60992395469209
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,11,3723.2911332721424,6931.448431551469,5071.257785959866,3654,220.54542966611933,106.46741607716297,0.48274596412332144,48.274596412332144
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,3,12,6931.448431551469,12903.900242964326,9427.76312637773,3650,261.9578082191781,119.4295977605161,0.45591157817517797,45.5911578175178
